text,label
How to perform ETL operations?,platform
Do we have temperature data for Patna?,sql
What permissions does a Project Owner have?,platform
What is Python?,general
What is the best programming language?,general
Tell me the humidity levels in Bihar.,sql
How to reset my password?,platform
Show me the production of Potato in Ahmedabad for 2020.,sql
How to manage users in NPCYF?,platform
How to create a Feature Master?,platform
How to download data from IndiaStat?,platform
What is the reservoir level of Punjab?,sql
When was ISI established?,general
"What is the total rainfall for Lucknow in August, 2003?",sql
How to change my profile settings?,platform
Who created you?,general
Who won the world cup?,general
Can you dance?,general
Show crop yields for 2003.,sql
What is the difference between Ingestion and ETL?,platform
Who developed the NPCYF platform?,platform
How to handle missing values in the dataset?,platform
Do we have temperature data for Thiruvananthapuram?,sql
Was there a drought in Gujarat in 2011?,sql
Count of districts in Andhra Pradesh.,sql
What is the minimum temperature in Lucknow?,sql
See you later,general
"What is the total rainfall for Thiruvananthapuram in August, 2007?",sql
Is this a chatbot?,general
Was there a drought in Bangalore in 2004?,sql
Is there any data for Monsoon season in Bhubaneswar?,sql
Explain Forecasting.,platform
What was the total rainfall in Bihar in 2005?,sql
Are you human?,general
What is the yield of Maize in Odisha?,sql
Show crop yields for 2002.,sql
What is NPCYF?,platform
Was there a drought in Lucknow in 2005?,sql
See you later,general
What is the population of Earth?,general
Show me the production of Potato in Andhra Pradesh for 2018.,sql
What was the highest temperature recorded in Odisha?,sql
How to use the Data Ingestion tutorial?,platform
Who discovered gravity?,general
What is the color of the sky?,general
What can you do?,general
How does Admin Management work?,platform
How to export forecast results?,platform
I want to know about Feature Engineering.,platform
How do I log in to the platform?,platform
What is the Training Dataset Analysis module?,platform
What are the key features of NPCYF?,platform
Translate hello to Spanish.,general
What is ISI?,general
Hi,general
Count of districts in Punjab.,sql
What is the date today?,general
List all crops grown in Uttar Pradesh.,sql
Show crop yields for 2021.,sql
What are the key features of NPCYF?,platform
What is the Training Dataset Analysis module?,platform
How to manage users in NPCYF?,platform
Did it rain in Thiruvananthapuram on 17/11/2012?,sql
Find the maximum temperature of Visakhapatnam in 2008.,sql
Find the maximum temperature of Uttar Pradesh in 2015.,sql
How to configure a Model Building Config?,platform
Is there any data for Winter season in Lucknow?,sql
Give me the area under Potato cultivation in Andhra Pradesh.,sql
Tell me about Data ETL.,platform
Do we have temperature data for Bhubaneswar?,sql
What are the system requirements for NPCYF?,platform
How old are you?,general
I need advice.,general
How's the weather today?,general
Explain Copilot.,platform
How many countries in the world?,general
How to clean and reshape datasets?,platform
What is the URL for UPAG data?,platform
What is the yield of Jute in Odisha?,sql
What is the yield of Potato in Karnataka?,sql
What is the reservoir level of Thiruvananthapuram?,sql
Compare rainfall between Andhra Pradesh and Kerala in 2003.,sql
How to download data from IndiaStat?,platform
How to run a model training batch?,platform
How to use the Data Ingestion tutorial?,platform
How many countries in the world?,general
What was the highest temperature recorded in Uttar Pradesh?,sql
Explain Admin Management.,platform
Find the maximum temperature of Uttar Pradesh in 2021.,sql
How to add a new user?,platform
Can you help me with math?,general
How to access the Admin Management section?,platform
How do airplanes fly?,general
I need advice.,general
Count of districts in Kerala.,sql
How to access the Admin Management section?,platform
Did it rain in Patna on 9/7/2018?,sql
Tell me the humidity levels in Lucknow.,sql
What is the purpose of Data Management module?,platform
I want to know about NPCYF.,platform
Give me the area under Maize cultivation in Bihar.,sql
What is AI?,general
How to create a new project?,platform
What is the average rainfall in Bhubaneswar?,sql
Where can I find trained models?,platform
How to view the logs?,platform
I want to know about Master Data.,platform
What was the total rainfall in Gujarat in 2023?,sql
What is the reservoir level of Andhra Pradesh?,sql
How much Jute was produced in 2019?,sql
What is the best movie?,general
What is the date today?,general
How to associate a dataset with a project?,platform
Who created you?,general
What is the average rainfall in Thiruvananthapuram?,sql
Explain Data Ingestion.,platform
How to manage users in NPCYF?,platform
How to associate a dataset with a project?,platform
How to change my profile settings?,platform
How to add a new crop to the system?,platform
Find the maximum temperature of Andhra Pradesh in 2007.,sql
Did it rain in Punjab on 21/12/2011?,sql
Do we have temperature data for Kolkata?,sql
Explain Forecasting.,platform
What is the best programming language?,general
Tell me a story.,general
What matches are on today?,general
Show crop yields for 2004.,sql
What is FASAL 2.0?,platform
I want to know about User Roles.,platform
How to create a new project?,platform
Do we have temperature data for Ahmedabad?,sql
What was the total rainfall in Ludhiana in 2016?,sql
I want to know about Data ETL.,platform
What is the reservoir level of Bangalore?,sql
What is the best movie?,general
How to generate a forecast?,platform
Thanks,general
How to access the Admin Management section?,platform
Do we have temperature data for Uttar Pradesh?,sql
How much Cotton was produced in 2002?,sql
Tell me the humidity levels in Lucknow.,sql
Did it rain in Ahmedabad on 10/12/2023?,sql
How to manage users in NPCYF?,platform
What is the Training Dataset Analysis module?,platform
What is the difference between Ingestion and ETL?,platform
Explain Feature Engineering.,platform
How to change my profile settings?,platform
Tell me about Model Building.,platform
Is there any data for Winter season in Kerala?,sql
What is Exogenous Estimation Config?,platform
Do you sleep?,general
I want to know about Admin Management.,platform
Hi,general
Bye,general
What permissions does a Project Owner have?,platform
Was there a drought in Bihar in 2001?,sql
Find the maximum temperature of West Bengal in 2018.,sql
Why is the sky blue?,general
Do you like pizza?,general
Good morning,general
Who wrote Harry Potter?,general
Who wrote Harry Potter?,general
Can you dance?,general
What was the highest temperature recorded in Andhra Pradesh?,sql
Find the maximum temperature of Bangalore in 2020.,sql
Compare rainfall between West Bengal and Odisha in 2002.,sql
Did it rain in Bihar on 14/2/2010?,sql
How are you?,general
Find the maximum temperature of Odisha in 2002.,sql
Do aliens exist?,general
What is AI?,general
How to clean and reshape datasets?,platform
What is 2 + 2?,general
What is the average rainfall in Uttar Pradesh?,sql
What formats are supported for Rainfall data?,platform
What is love?,general
Do we have temperature data for Kolkata?,sql
Find the maximum temperature of Lucknow in 2006.,sql
Do we have temperature data for Gujarat?,sql
Was there a drought in Ludhiana in 2008?,sql
How to monitor model execution status?,platform
Show me the production of Jute in Bhubaneswar for 2016.,sql
What is the reservoir level of Uttar Pradesh?,sql
Was there a drought in Ahmedabad in 2018?,sql
How old are you?,general
What is your favorite color?,general
How to handle missing values in the dataset?,platform
Show me the production of Potato in Odisha for 2015.,sql
"What is the total rainfall for Patna in December, 2016?",sql
Where do you live?,general
What is the reservoir level of Kerala?,sql
What is Exogenous Estimation Config?,platform
What is the IMD CRIS portal?,platform
How many countries in the world?,general
What is Master Data Management?,platform
How to associate a dataset with a project?,platform
Show me the production of Potato in Ludhiana for 2017.,sql
Show me the production of Sugarcane in Gujarat for 2008.,sql
Is there any data for Kharif season in Ahmedabad?,sql
